序号,异常行为分类,,,,,可选风险等级,排查阶段,,核实阶段
126,业务操作类,其他失范行为,不提交或提交不实的个人信息,,违规行为,中/较低/低,个人异常行为事项报送及签署授权书,"1.内部数据核对：将员工申报的信息与行内已有的其他数据进行比对。例如，把申报的家庭联系方式与公司紧急联系人信息、员工福利系统中的家属信息进行对比。如果发现差异，可能存在申报不实的情况。
2.外部数据验证：针对员工申报的投资企业情况，通过国家企业信用信息公示系统查询企业的股东信息、注册地址、经营范围等内容，与员工申报的投资细节进行比对，检查是否存在隐瞒或虚假申报的情况。",当发现有信息申报不实的嫌疑时，启动正式的调查核实程序。由独立的调查小组负责调查，通过与员工面谈、收集更多证据（如银行流水、合同文件等）等方式，核实员工行为的合理性。
127,业务操作类,其他失范行为,未妥善保管其他与自身职责有关的信息和物品,,违规行为,中/较低/低,个人异常行为事项报送及签署授权书,通过办公区域检查、重要物品和信息专用存储区域检查、文档存储和管理情况审查、数据备份与存储检查，并要求员工提供的关于信息和物品保管记录，排查员工对于数据和物品的保管情况。,与员工本人沟通，核实是否存在排查出的可疑行为，并明确其行为原因。被检查人需提供详细明确的说明，充分解释其异常行为的合理性。
128,业务操作类,其他失范行为,违规保管客户印章、已加盖公章客户空白凭证等重要材料,,违规行为,较高/中/较低,个人异常行为事项报送及签署授权书,采取不定期的“特别检查”、“飞行检查”、“突击检查”等线下检查方式，调查了解银行员工在其工作场所是否违规保管借条、凭证、合同、印章等物品。,核实保管的物品，调取监控，与员工面谈，核实行为与其背后原因。
129,业务操作类,其他失范行为,未经批准随意外出、无故不到岗、中途长时间离岗或突然失联失踪,,违规行为,中/较低/低,个人异常行为事项报送及签署授权书,结合业务部门反馈的相关数据，定期获取异常行为员工名单。,与员工本人沟通，核实是否存在排查出的可疑行为，并明确其行为原因。被检查人需提供详细明确的说明，充分解释其异常行为的合理性。
130,业务操作类,其他失范行为,不接受岗位调整、轮换或以各种接口拖延岗位轮换时间,,违规行为,中/较低/低,个人异常行为事项报送及签署授权书,结合业务部门反馈的相关数据，定期获取异常行为员工名单。,与员工本人沟通，核实是否存在排查出的可疑行为，并明确其行为原因。被检查人需提供详细明确的说明，充分解释其异常行为的合理性。
131,业务操作类,其他失范行为,不配合或抗拒检查，拒绝、故意拖延或提供虚假材料,,违规行为,高/较高/中/较低,个人异常行为事项报送及签署授权书,结合业务部门反馈的相关数据，定期获取异常行为员工名单。,与员工本人沟通，核实是否存在排查出的可疑行为，并明确其行为原因。被检查人需提供详细明确的说明，充分解释其异常行为的合理性。
132,业务操作类,其他失范行为,近段时间突然精神恍惚、情绪反常，与以往表现有重大差异,,可疑/异常行为,中/较低/低,个人异常行为事项报送及签署授权书,通过家访、与员工同事访谈等非正式谈话方式，同时结合业务部门反馈的相关数据，定期获取异常行为员工名单。,与员工本人沟通，核实是否存在排查出的可疑行为，并明确其行为原因。被检查人需提供详细明确的说明，充分解释其异常行为的合理性。
133,业务操作类,其他失范行为,明知他人违规、违纪、违法而知情不报,,违规行为,中/较低/低,个人异常行为事项报送及签署授权书,结合业务部门反馈的相关数据，定期获取异常行为员工名单。,与员工本人沟通，核实是否存在排查出的可疑行为，并明确其行为原因。被检查人需提供详细明确的说明，充分解释其异常行为的合理性。
134,业务操作类,其他失范行为,行内考试有作弊等相关违规行为,,违规行为,中/较低/低,个人异常行为事项报送及签署授权书,结合业务部门反馈的相关数据，定期获取异常行为员工名单。,与员工本人沟通，核实是否存在排查出的可疑行为，并明确其行为原因。被检查人需提供详细明确的说明，充分解释其异常行为的合理性。
135,业务操作类,其他失范行为,无故不参加单位组织的各类活动,包括但不限于：会议、座谈、培训等,违规行为,中/较低/低,个人异常行为事项报送及签署授权书,结合业务部门反馈的相关数据，定期获取异常行为员工名单。,与员工本人沟通，核实是否存在排查出的可疑行为，并明确其行为原因。被检查人需提供详细明确的说明，充分解释其异常行为的合理性。
136,业务操作类,其他失范行为,违规经商办企业,,违规行为,中/较低/低,个人异常行为事项报送及签署授权书,通过我行“京准查”和天眼查、企查查等公开信息渠道进行排查,被查询人通过小程序“电子营业执照”查询个人信息后截图
137,业务操作类,其他失范行为,违规兼职或违规兼职取酬,,违规行为,中/较低/低,个人异常行为事项报送及签署授权书,通过我行“京准查”和天眼查、企查查等公开信息渠道进行排查,被查询人通过小程序“电子营业执照”查询个人信息后截图
138,业务操作类,其他失范行为,未经批准，参加授课、课题研究、论文评审、答辩评审、合作出书等活动,,违规行为,中/较低/低,个人异常行为事项报送及签署授权书,定期审查工作安排与行程、定期监测员工在社交媒体、学术论坛、专业网站等平台上的活动动态,与员工可能参与活动的合作方、学术机构、出版社等进行沟通，核实员工是否以公司名义或在工作时间内参与了相关活动，以及活动是否经过公司批准。
139,业务操作类,其他失范行为,未妥善保管涉密资料，擅自将涉密资料带离保管场所或办公场所,,违规行为,高/较高/中/较低,个人异常行为事项报送及签署授权书,结合业务部门反馈的相关数据，定期获取异常行为员工名单。,与员工本人沟通，核实是否存在排查出的可疑行为，并明确其行为原因。被检查人需提供详细明确的说明，充分解释其异常行为的合理性。
140,业务操作类,其他失范行为,离职前未将涉密资料原件和复制形式完整交回，自行保留,,违规行为,高/较高/中/较低,个人异常行为事项报送及签署授权书,结合业务部门反馈的相关数据，定期获取异常行为员工名单。,与员工本人沟通，核实是否存在排查出的可疑行为，并明确其行为原因。被检查人需提供详细明确的说明，充分解释其异常行为的合理性。
141,业务操作类,其他失范行为,未经授权或批准，打印、复印或复制敏感信息或涉密资料,,违规行为,高/较高/中/较低,个人异常行为事项报送及签署授权书,结合业务部门反馈的相关数据，定期获取异常行为员工名单。,与员工本人沟通，核实是否存在排查出的可疑行为，并明确其行为原因。被检查人需提供详细明确的说明，充分解释其异常行为的合理性。
142,业务操作类,其他失范行为,未恪守“公平竞争、客户自愿”原则，从事各类不正当竞争行为,例如：违规揽存、低价倾销、贬低同业、虚假宣传等,违规行为,中/较低/低,个人异常行为事项报送及签署授权书,结合业务部门反馈的相关数据，定期获取异常行为员工名单。,与员工本人沟通，核实是否存在排查出的可疑行为，并明确其行为原因。被检查人需提供详细明确的说明，充分解释其异常行为的合理性。
143,业务操作类,其他失范行为,向客户明示、暗示或者默许以虚假资料骗取、套取信贷资金,,违规行为,高/较高/中/较低,个人异常行为事项报送及签署授权书,结合业务部门反馈的相关数据，定期获取异常行为员工名单。,与员工本人沟通，核实是否存在排查出的可疑行为，并明确其行为原因。被检查人需提供详细明确的说明，充分解释其异常行为的合理性。
144,业务操作类,其他失范行为,未经授权以银行名义与客户签订协议、合同,,违规行为,高/较高/中,个人异常行为事项报送及签署授权书,结合业务部门反馈的相关数据，定期获取异常行为员工名单。,与员工本人沟通，核实是否存在排查出的可疑行为，并明确其行为原因。被检查人需提供详细明确的说明，充分解释其异常行为的合理性。
145,业务操作类,其他失范行为,故意违规或刻意规避法律法规、我行规章制度,,违规行为,高/较高/中/较低,个人异常行为事项报送及签署授权书,结合业务部门反馈的相关数据，定期获取异常行为员工名单。,与员工本人沟通，核实是否存在排查出的可疑行为，并明确其行为原因。被检查人需提供详细明确的说明，充分解释其异常行为的合理性。
146,业务操作类,其他失范行为,违规使用未经授权的设备,,违规行为,较高/中/较低,个人异常行为事项报送及签署授权书,结合业务部门反馈的相关数据，定期获取异常行为员工名单。,与员工本人沟通，核实是否存在排查出的可疑行为，并明确其行为原因。被检查人需提供详细明确的说明，充分解释其异常行为的合理性。
147,业务操作类,其他失范行为,违规外发涉敏信息邮件,,违规行为,较高/中/较低,个人异常行为事项报送及签署授权书,定期排查员工的邮件内容以及附件名称，重点关注是否涉及业务敏感信息。,与员工本人沟通，核实是否存在排查出的可疑行为，并明确其行为原因。被检查人需提供详细明确的说明，充分解释其异常行为的合理性。
148,业务操作类,其他失范行为,虚报/虚增业绩,,违规行为,中/较低/低,个人异常行为事项报送及签署授权书,结合业务部门反馈的相关数据，定期获取异常行为员工名单。,与员工本人沟通，核实是否存在排查出的可疑行为，并明确其行为原因。被检查人需提供详细明确的说明，充分解释其异常行为的合理性。
149,业务操作类,其他失范行为,外包人员私印名片,,违规行为,中/较低/低,个人异常行为事项报送及签署授权书,结合业务部门反馈的相关数据，定期获取异常行为员工名单。,与员工本人沟通，核实是否存在排查出的可疑行为，并明确其行为原因。被检查人需提供详细明确的说明，充分解释其异常行为的合理性。
150,业务操作类,其他失范行为,未经授权或批准，以本行名义在公共媒体上接受采访、发表意见、发布消息,,违规行为,中/较低/低,个人异常行为事项报送及签署授权书,订阅与本行业务相关的行业媒体、地方媒体等，定期查看这些媒体是否有关于本行的报道。,与本人沟通核实
151,业务操作类,其他失范行为,以本行名义对外考察、谈判、授课、演讲、提供证明或从事其他活动,,违规行为,中/较低/低,个人异常行为事项报送及签署授权书,通过查看员工的差旅申请和报销记录、与相关的行业协会联系等进行排查。,与本人沟通核实
152,业务操作类,其他失范行为,擅自接受媒体采访或通过自媒体对外发布或传播不实和不良信息和言论,,违规行为,中/较低/低,个人异常行为事项报送及签署授权书,订阅与本行业务相关的行业媒体、地方媒体等，定期查看这些媒体是否有关于本行的报道。,与本人沟通核实
153,业务操作类,其他失范行为,违规办理持有因私出国（境）证件或有效身份证件,,违规行为,中/较低/低,个人异常行为事项报送及签署授权书,定期进行出国（境）证件盘点,与本人沟通核实
154,业务操作类,其他失范行为,违规出境,,违规行为,中/较低/低,个人异常行为事项报送及签署授权书,定期进行出国（境）证件盘点,与本人沟通核实
155,业务操作类,其他失范行为,各类检查发现工作不认真，问题较多,,违规行为,中/较低/低,个人异常行为事项报送及签署授权书,结合业务部门反馈的相关数据，定期获取异常行为员工名单。,与员工本人沟通，核实是否存在排查出的可疑行为，并明确其行为原因。被检查人需提供详细明确的说明，充分解释其异常行为的合理性。
156,业务操作类,其他失范行为,反馈业务异常操作或差错较多，或产生业务纠纷的,,违规行为,中/较低/低,个人异常行为事项报送及签署授权书,定期收集员工涉及的业务交易记录，包括时间、金额、交易对象等详细信息，统计员工业务操作差错的频率、类型和分布情况。,与员工本人沟通，核实是否存在排查出的可疑行为，并明确其行为原因。被检查人需提供详细明确的说明，充分解释其异常行为的合理性。
157,业务操作类,其他失范行为,多次被投诉、举报，但问题暂未查实的,,违规行为/可疑/异常行为,中/较低/低,个人异常行为事项报送及签署授权书,将所有投诉举报内容按照业务类型、投诉性质（如服务质量、产品质量、违规操作等）进行分类，通过分类，找出投诉比较集中的领域和性质，重点排查同一员工集中被投诉的领域和投诉严重程度高的领域。,与员工本人沟通，核实是否存在排查出的可疑行为，并明确其行为原因。被检查人需提供详细明确的说明，充分解释其异常行为的合理性。
158,业务操作类,其他失范行为,不按正常渠道反映问题，煽动不满情绪或组织越级上访的,,违规行为,中/较低/低,个人异常行为事项报送及签署授权书,收集反馈、举报信息；对于公司内部的社交平台（如内部论坛、工作群等）进行监控。,与员工本人沟通，核实是否存在排查出的可疑行为，并明确其行为原因。被检查人需提供详细明确的说明，充分解释其异常行为的合理性。
159,业务操作类,其他失范行为,经常迟到、早退、旷工、请假,,违规行为,中/较低/低,个人异常行为事项报送及签署授权书,统计员工在一定时期（如一个月、一个季度）内的迟到、早退、旷工和请假次数，并与团队平均水平或公司规定的标准进行对比，重点排查无故迟到、早退、旷工、请假频繁的员工。,"对于迟到、早退、旷工的员工，与员工本人沟通，核实其未请假的原因及合理性。
对于频繁请假的员工，核实其请假事由的真实性，审查员工的请假手续是否符合公司规定的流程。"
160,业务操作类,其他失范行为,无正当理由长期休假（含病假），不在工作岗位,,违规行为,中/较低/低,个人异常行为事项报送及签署授权书,结合业务部门反馈的相关数据，定期获取异常行为员工名单。,与员工本人沟通，核实是否存在排查出的可疑行为，并明确其行为原因。被检查人需提供详细明确的说明，充分解释其异常行为的合理性。
161,业务操作类,其他失范行为,休假期间由他人代为申请延长假期且无法联系到本人的,,违规行为,中/较低/低,个人异常行为事项报送及签署授权书,结合业务部门反馈的相关数据，定期获取异常行为员工名单。,与员工本人沟通，核实是否存在排查出的可疑行为，并明确其行为原因。被检查人需提供详细明确的说明，充分解释其异常行为的合理性。
162,家庭情况类,家庭矛盾,有因家庭矛盾、变故造成行为异常的情况,,可疑/异常行为,较低/低,个人异常行为事项报送及签署授权书,定期整合员工档案信息，包括员工入职时填写的家庭背景、紧急联系人等信息，同时关注员工在后续工作过程中提交的如家庭变故（婚姻状况变化、亲属重大疾病等）相关的申请材料。,与员工本人沟通，核实是否存在排查出的可疑行为，并明确其行为原因。被检查人需提供详细明确的说明，充分解释其异常行为的合理性。
163,家庭情况类,家庭亲友风险,家庭成员或来往密切的亲友有信贷风险,例如：参与大额风险投资活动、贷款逾期等,可疑/异常行为,较低/低,个人异常行为事项报送及签署授权书,排查员工及其家庭成员、来往密切亲友之间是否存在关联账户，从征信机构获取员工家庭成员和来往密切亲友的更全面信用报告。,与员工本人沟通，核实是否参与该可疑行为或为亲友提供相关帮助。被检查人需提供详细明确的说明，充分解释其异常行为的合理性。
164,家庭情况类,家庭亲友风险,有家庭成员或来往密切的亲友从事传销、赌博、涉毒等活动,,可疑/异常行为,中/较低/低,个人异常行为事项报送及签署授权书,定期要求员工更新个人信息，关注员工亲属职业变更频繁、职业描述模糊或收入来源不明的情况；利用合法渠道查询公共信息，如法院裁判文书网、企业信用信息网等，查看员工家庭成员或亲友是否涉及传销、赌博、涉毒等相关案件或纠纷。,与员工本人沟通，核实是否参与该可疑行为或为亲友提供相关帮助。被检查人需提供详细明确的说明，充分解释其异常行为的合理性。
165,家庭情况类,家庭亲友风险,家庭成员涉案、刑拘或被司法部门控制的,,可疑/异常行为,中/较低/低,个人异常行为事项报送及签署授权书,定期要求员工更新个人信息，关注员工亲属职业变更频繁、职业描述模糊或收入来源不明的情况；利用合法渠道查询公共信息资源，如中国裁判文书网、全国法院被执行人信息查询平台、中国执行信息公开网等。定期通过员工提供的家庭成员姓名和身份信息进行搜索，查看是否有相关的判决书、执行信息或被列为失信被执行人的记录。,与员工本人沟通，核实是否参与该可疑行为或为亲友提供相关帮助。被检查人需提供详细明确的说明，充分解释其异常行为的合理性。
166,家庭情况类,其他家庭情况类,存在其他家庭情况类异常行为,,可疑/异常行为,较低/低,个人异常行为事项报送及签署授权书,定期整合员工档案信息，包括员工入职时填写的家庭背景、紧急联系人等信息，同时关注员工在后续工作过程中提交的如家庭变故（婚姻状况变化、亲属重大疾病等）相关的申请材料。,与员工本人沟通，核实是否存在排查出的可疑行为，并明确其行为原因。被检查人需提供详细明确的说明，充分解释其异常行为的合理性。
167,社会交往类,交往不当,结交民营、私营企业主，并与之关系密切,,可疑/异常行为,中/较低/低,个人异常行为事项报送及签署授权书,定期审查员工的个人财务状况，包括银行账户、资产申报情况等。查看是否存在与民营、私营企业主之间的异常经济往来，如频繁的资金转账、共同投资、借贷关系等。,与员工本人沟通，核实是否存在排查出的可疑行为，并明确其行为原因。被检查人需提供详细明确的说明，充分解释其异常行为的合理性。
168,社会交往类,交往不当,与民间借贷相关人员交往密切，或参与社会融资活动,与民间借贷相关人员交往密切，参与社会融资活动,可疑/异常行为,较高/中/较低,个人异常行为事项报送及签署授权书,"工资与支出监测：获取员工的银行账户流水，分析员工的工资收入和奖金等合法收入情况，对比其日常消费支出。排查员工是否有持续的大额支出。
业务操作行为监测：对于涉及资金划转等业务的员工，查看是否有可疑的资金操作行为，如将银行客户资金违规转移到与民间借贷相关的账户，或者协助民间借贷资金在银行系统内进行隐蔽流转。",与员工本人沟通，核实是否存在排查出的可疑行为，并明确其行为原因。被检查人需提供详细明确的说明，充分解释其异常行为的合理性。
169,社会交往类,交往不当,社会交往复杂，与社会上有不良嗜好或劣迹的人员交往甚密,,可疑/异常行为,较低/低,个人异常行为事项报送及签署授权书,定期进行员工背景复查，通过合法的渠道获取信息，如信用报告查询，查看员工是否与有不良信用记录的人有经济往来；也可以通过社交媒体监测工具，了解员工近期的社交动态。,与员工本人沟通，核实是否存在排查出的可疑行为，并明确其行为原因。被检查人需提供详细明确的说明，充分解释其异常行为的合理性。
170,社会交往类,交往不当,与业务往来或关联单位人员有不当交往密切,,可疑/异常行为,较低/低,个人异常行为事项报送及签署授权书,定期更新对业务往来和关联单位的背景调查；定期排查与业务往来单位之间的财务交易记录；在公司允许的合法范围内，对员工的工作邮箱和即时通讯工具（如企业微信、钉钉等）进行关键词搜索,与员工本人沟通，核实是否存在排查出的可疑行为，并明确其行为原因。被检查人需提供详细明确的说明，充分解释其异常行为的合理性。
171,社会交往类,其他社会交往类,存在其他社会交往等不良行为,,可疑/异常行为,较低/低,个人异常行为事项报送及签署授权书,定期排查员工是否涉及民事纠纷（如经济纠纷、侵权纠纷等）或刑事犯罪记录。,与本人沟通核实
172,社会交往类,其他社会交往类,在单位和社会上议论较多，情况复杂的,,可疑/异常行为,较低/低,个人异常行为事项报送及签署授权书,订阅与本行业务相关的行业媒体、地方媒体等，定期查看这些媒体是否有关于本行员工的报道；对于有内部通讯工具（如企业微信、钉钉等）的单位，在符合法律法规和公司隐私政策的前提下，分析员工之间的聊天记录。,与本人沟通核实
173,社会交往类,个人作风不当,他人反映不良行为、道德素质低下,,违规行为,中/较低/低,个人异常行为事项报送及签署授权书,"工资与支出监测：获取员工的银行账户流水，分析员工的工资收入和奖金等合法收入情况，对比其日常消费支出。排查员工是否有持续的大额支出。
业务操作行为监测：对于涉及资金划转等业务的员工，查看是否有可疑的资金操作行为，如将银行客户资金违规转移到与民间借贷相关的账户，或者协助民间借贷资金在银行系统内进行隐蔽流转。",与本人沟通核实
